similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.0,0.7,2000,NO FILTER,4.242,0.012,4.145
0.0,0.75,2000,NO FILTER,3.777,0.012,4.145
0.0,0.8,2000,NO FILTER,3.079,0.012,4.145
0.0,0.85,2000,NO FILTER,2.716,0.012,4.145
0.0,0.7,2000,CHECK FILTER,4.528,0.012,4.145
0.0,0.75,2000,CHECK FILTER,4.108,0.012,4.145
0.0,0.8,2000,CHECK FILTER,3.399,0.012,4.145
0.0,0.85,2000,CHECK FILTER,3.254,0.012,4.145
0.0,0.7,2000,NN FILTER,3.264,0.012,4.145
0.0,0.75,2000,NN FILTER,3.157,0.012,4.145
0.0,0.8,2000,NN FILTER,3.069,0.012,4.145
0.0,0.85,2000,NN FILTER,3.116,0.012,4.145
0.25,0.7,2000,NO FILTER,4.53,0.012,4.145
0.25,0.75,2000,NO FILTER,4.289,0.012,4.145
0.25,0.8,2000,NO FILTER,3.262,0.012,4.145
0.25,0.85,2000,NO FILTER,2.877,0.012,4.145
0.25,0.7,2000,CHECK FILTER,4.494,0.012,4.145
0.25,0.75,2000,CHECK FILTER,3.817,0.012,4.145
0.25,0.8,2000,CHECK FILTER,3.269,0.012,4.145
0.25,0.85,2000,CHECK FILTER,2.875,0.012,4.145
0.25,0.7,2000,NN FILTER,3.67,0.012,4.145
0.25,0.75,2000,NN FILTER,4.313,0.012,4.145
0.25,0.8,2000,NN FILTER,4.3,0.012,4.145
0.25,0.85,2000,NN FILTER,4.043,0.012,4.145
0.5,0.7,2000,NO FILTER,5.741,0.012,4.145
0.5,0.75,2000,NO FILTER,5.097,0.012,4.145
0.5,0.8,2000,NO FILTER,4.158,0.012,4.145
0.5,0.85,2000,NO FILTER,3.713,0.012,4.145
0.5,0.7,2000,CHECK FILTER,5.99,0.012,4.145
0.5,0.75,2000,CHECK FILTER,4.843,0.012,4.145
0.5,0.8,2000,CHECK FILTER,3.341,0.012,4.145
0.5,0.85,2000,CHECK FILTER,2.994,0.012,4.145
0.5,0.7,2000,NN FILTER,3.478,0.012,4.145
0.5,0.75,2000,NN FILTER,3.341,0.012,4.145
0.5,0.8,2000,NN FILTER,3.073,0.012,4.145
0.5,0.85,2000,NN FILTER,2.938,0.012,4.145
0.75,0.7,2000,NO FILTER,4.36,0.012,4.145
0.75,0.75,2000,NO FILTER,3.864,0.012,4.145
0.75,0.8,2000,NO FILTER,3.415,0.012,4.145
0.75,0.85,2000,NO FILTER,2.951,0.012,4.145
0.75,0.7,2000,CHECK FILTER,4.337,0.012,4.145
0.75,0.75,2000,CHECK FILTER,3.885,0.012,4.145
0.75,0.8,2000,CHECK FILTER,3.242,0.012,4.145
0.75,0.85,2000,CHECK FILTER,3.227,0.012,4.145
0.75,0.7,2000,NN FILTER,3.569,0.012,4.145
0.75,0.75,2000,NN FILTER,3.429,0.012,4.145
0.75,0.8,2000,NN FILTER,3.121,0.012,4.145
0.75,0.85,2000,NN FILTER,2.966,0.012,4.145
